"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,136,168,190,230,247
Admitidas,119,149,143,135,159
No admitidas,17,19,47,95,88
