"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,131,167,200,183,216
Admitidas,83,75,100,104,105
No admitidas,48,92,100,79,111
