"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,133,125,123,110,91
Admitidas,132,119,123,107,84
No admitidas,1,6,0,3,7
