"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,58,83,106
Admitidas (presentadas en el centro),31,33,36
Admitidas (presentadas en otro centro),0,3,3
No admitidas (presentadas en el centro),27,47,67
