"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,206,175,163,160,168
Admitidas,186,146,135,146,134
No admitidas,20,29,28,14,34
