"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,47,77,89
Admitidas (presentadas en el centro),34,57,65
Admitidas (presentadas en otro centro),4,4,5
No admitidas (presentadas en el centro),9,16,19
