"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,30,46,39,44,42
Admitidas,30,42,36,38,37
No admitidas,0,4,3,6,5
