"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,74,84,110,79,78
Admitidas,62,57,84,63,51
No admitidas,12,27,26,16,27
