"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,17,20,8,18,6
Admitidas,14,19,8,14,5
No admitidas,3,1,0,4,1
