"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,187,177,165,166,158
Admitidas (presentadas en el centro),127,132,124,129,125
Admitidas (presentadas en otro centro),0,4,4,2,2
No admitidas (presentadas en el centro),64,41,37,35,31
