"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,82,106,117
Admitidas (presentadas en el centro),28,37,33
Admitidas (presentadas en otro centro),2,2,5
No admitidas (presentadas en el centro),49,66,78
