"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,118,134,125,121,123
Admitidas (presentadas en el centro),87,87,88,91,91
Admitidas (presentadas en otro centro),0,6,4,3,7
No admitidas (presentadas en el centro),35,41,32,27,25
