"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,52,57,70
Admitidas (presentadas en el centro),29,36,34
Admitidas (presentadas en otro centro),1,0,2
No admitidas (presentadas en el centro),22,21,34
