"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,127,142,110,105,93
Admitidas,119,124,95,97,91
No admitidas,8,18,15,8,2
