"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,103,91,87,75,80
Admitidas,75,74,56,55,55
No admitidas,28,17,31,20,25
