"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,29,36,37,51,35
Admitidas (presentadas en el centro),21,32,35,46,32
Admitidas (presentadas en otro centro),0,0,2,1,1
No admitidas (presentadas en el centro),10,4,0,4,2
