"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,38,79
Admitidas (presentadas en el centro),22,35
Admitidas (presentadas en otro centro),0,1
No admitidas (presentadas en el centro),16,43
