"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,139,203,210,273
Admitidas,139,151,118,166
No admitidas,0,52,92,107
