"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,124,132,117,131,140
Admitidas (presentadas en el centro),75,85,91,83,85
Admitidas (presentadas en otro centro),0,6,5,5,7
No admitidas (presentadas en el centro),53,40,18,43,48
