"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,4,12,5,12
Admitidas,4,8,4,3
No admitidas,0,4,1,9
