"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,166,182,156,179,180
Admitidas,141,120,119,117,120
No admitidas,25,62,37,62,60
