"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,92,102,111,125,120
Admitidas (presentadas en el centro),79,88,92,104,113
Admitidas (presentadas en otro centro),0,4,1,4,0
No admitidas (presentadas en el centro),13,9,18,17,7
