"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,146,134,151,93,125
Admitidas (presentadas en el centro),89,93,104,65,92
Admitidas (presentadas en otro centro),0,11,7,7,7
No admitidas (presentadas en el centro),57,29,38,20,26
