"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,42,31,81,57,80
Admitidas,36,18,25,6,27
No admitidas,6,13,56,51,53
