"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,117,122,128,128,128
Admitidas (presentadas en el centro),76,88,93,86,82
Admitidas (presentadas en otro centro),0,3,2,3,5
No admitidas (presentadas en el centro),42,31,33,38,41
