"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,4,62,59,45,37
Admitidas,0,0,0,1,11
No admitidas,4,62,59,44,26
