"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,263,245,233,241,214
Admitidas (presentadas en el centro),197,177,173,183,186
Admitidas (presentadas en otro centro),0,9,7,9,7
No admitidas (presentadas en el centro),71,58,53,49,21
