"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,4,6,9,16,12
Admitidas,3,3,7,4,4
No admitidas,1,3,2,12,8
