"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,82,63,74,79,87
Admitidas (presentadas en el centro),41,40,68,75,76
Admitidas (presentadas en otro centro),0,1,3,3,4
No admitidas (presentadas en el centro),43,22,2,0,7
