"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,25,48,54
Admitidas (presentadas en el centro),21,41,37
Admitidas (presentadas en otro centro),1,1,2
No admitidas (presentadas en el centro),3,6,14
