"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,82,86,64,50,46
Admitidas,70,78,59,47,38
No admitidas,12,8,5,3,8
