"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,193,148,142,145,156
Admitidas,177,134,126,127,132
No admitidas,16,14,16,18,24
