"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,208,179,195,189,171
Admitidas (presentadas en el centro),143,143,139,136,138
Admitidas (presentadas en otro centro),0,8,10,7,10
No admitidas (presentadas en el centro),65,28,45,45,22
