"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,15,8,10,8,9
Admitidas,13,3,8,5,3
No admitidas,2,5,2,3,6
