"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,4,7,3,8,5
Admitidas,0,3,1,6,4
No admitidas,4,4,2,2,1
