"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,7,23,24,34
Admitidas,0,6,7,0
No admitidas,7,17,17,34
