"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,209,256,204,193,222
Admitidas,188,171,167,157,155
No admitidas,21,85,37,36,67
