"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,58,39,36,32,32
Admitidas,50,37,32,32,30
No admitidas,8,2,4,0,2
