"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,80,81,66,45,53
Admitidas,74,73,56,44,51
No admitidas,6,8,10,1,2
