"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,13,6,2,7,3
Admitidas,9,5,1,7,3
No admitidas,4,1,1,0,0
