"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,69,84,62,70,55
Admitidas,51,53,42,43,42
No admitidas,18,31,20,27,13
