"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,21,23,31,42,45
Admitidas,10,0,9,15,4
No admitidas,11,23,22,27,41
