"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,94,47,87,105,71
Admitidas,61,25,48,65,23
No admitidas,33,22,39,40,48
