"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,72,98,93,92,140
Admitidas,58,64,77,58,53
No admitidas,14,34,16,34,87
