"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,117,122,112,136,108
Admitidas (presentadas en el centro),73,80,81,93,72
Admitidas (presentadas en otro centro),0,5,3,4,7
No admitidas (presentadas en el centro),48,37,28,39,29
