"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,89,85,94,101,90
Admitidas (presentadas en el centro),74,74,81,77,74
Admitidas (presentadas en otro centro),0,1,4,7,4
No admitidas (presentadas en el centro),19,10,9,16,12
