"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,53,47,55,40,28
Admitidas,50,46,55,40,28
No admitidas,3,1,0,0,0
