"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,49,53,32,47,33
Admitidas,45,48,28,40,32
No admitidas,4,5,4,7,1
