"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,48,47,43,39,35
Admitidas (presentadas en el centro),38,44,33,39,34
Admitidas (presentadas en otro centro),0,1,1,0,0
No admitidas (presentadas en el centro),12,2,9,0,1
