"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,99,59,137,125,115
Admitidas,67,12,50,60,43
No admitidas,32,47,87,65,72
