"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,156,155,146,164,146
Admitidas,146,137,115,126,126
No admitidas,10,18,31,38,20
