"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,21,8,6,13,8
Admitidas,16,4,5,10,5
No admitidas,5,4,1,3,3
