"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,116,134,113,99,112
Admitidas,115,127,106,87,97
No admitidas,1,7,7,12,15
