"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,157,127,112,170,165
Admitidas,120,105,102,107,140
No admitidas,37,22,10,63,25
