"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,12,24,24,28,36
Admitidas,6,9,8,4,0
No admitidas,6,15,16,24,36
