"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,103,131,116,145,132
Admitidas (presentadas en el centro),89,87,87,78,91
Admitidas (presentadas en otro centro),0,7,4,7,3
No admitidas (presentadas en el centro),16,37,25,59,38
