"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,37,46,51
Admitidas (presentadas en el centro),20,26,28
Admitidas (presentadas en otro centro),5,5,2
No admitidas (presentadas en el centro),12,15,21
