"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,96,109,106,123,89
Admitidas (presentadas en el centro),80,82,82,84,79
Admitidas (presentadas en otro centro),0,2,3,3,3
No admitidas (presentadas en el centro),16,25,21,36,7
