"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,80,73,75,67,74
Admitidas (presentadas en el centro),57,62,64,54,69
Admitidas (presentadas en otro centro),0,10,6,4,3
No admitidas (presentadas en el centro),24,1,5,9,2
