"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,90,116,117,117,101
Admitidas (presentadas en el centro),82,105,98,102,86
Admitidas (presentadas en otro centro),0,7,9,11,8
No admitidas (presentadas en el centro),8,4,10,4,7
