"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,58,56,70
Admitidas (presentadas en el centro),35,39,38
Admitidas (presentadas en otro centro),2,1,2
No admitidas (presentadas en el centro),21,16,28
