"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,63,59,44,55,44
Admitidas,50,49,37,40,36
No admitidas,13,10,7,15,8
