"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,62,43,38,35,37
Admitidas,49,41,38,33,37
No admitidas,13,2,0,2,0
