"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,169,155,165,164,184
Admitidas (presentadas en el centro),121,131,140,129,147
Admitidas (presentadas en otro centro),0,9,13,8,8
No admitidas (presentadas en el centro),51,14,12,27,29
